TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionType,Channel,CustomerOccupation,Cluster
14.089999999999975,70.0,81.0,1.0,5112.21,Engineer,Doctor,Doctor,1
376.24,68.0,141.0,1.0,13758.91,Engineer,Doctor,Doctor,0
126.28999999999999,19.0,56.0,1.0,1122.35,Engineer,Retired,Student,2
184.5,26.0,25.0,1.0,8569.06,Engineer,Retired,Student,0
13.449999999999989,26.0,198.0,1.0,7429.4,Doctor,Retired,Student,0
92.15,18.0,172.0,1.0,781.6800000000003,Engineer,Doctor,Student,2
7.079999999999984,37.0,139.0,1.0,13316.71,Doctor,Doctor,Doctor,0
171.42,67.0,291.0,1.0,2796.24,Doctor,Engineer,Retired,1
106.23000000000002,51.0,86.0,1.0,9095.14,Doctor,Engineer,Engineer,0
815.96,55.0,120.0,1.0,1021.8799999999997,Engineer,Doctor,Doctor,1
17.78000000000003,52.0,59.0,1.0,7599.52,Doctor,Retired,Engineer,0
190.02000000000004,21.0,173.0,1.0,1528.81,Engineer,Retired,Student,2
494.52,24.0,111.0,1.0,1620.02,Doctor,Engineer,Student,2
781.76,26.0,123.0,1.0,189.6899999999996,Engineer,Doctor,Student,2
166.99,18.0,134.0,1.0,299.9300000000003,Engineer,Retired,Student,2
465.45,36.0,129.0,1.0,3465.54,Engineer,Doctor,Engineer,2
555.8,19.0,158.0,1.0,1131.2600000000002,Doctor,Engineer,Student,2
492.93,39.0,234.0,1.0,5109.97,Engineer,Retired,Engineer,2
18.680000000000007,59.0,106.0,1.0,7948.37,Doctor,Engineer,Retired,0
71.47999999999999,18.0,169.0,1.0,6568.59,Doctor,Retired,Student,2
59.31999999999999,71.0,38.0,1.0,5750.89,Engineer,Engineer,Retired,1
85.76999999999998,38.0,93.0,1.0,9146.19,Engineer,Engineer,Doctor,0
52.19999999999999,39.0,120.0,1.0,8974.93,Engineer,Retired,Engineer,0
345.84,22.0,142.0,3.0,1402.5,Engineer,Retired,Student,2
145.54,21.0,96.0,1.0,1930.96,Engineer,Retired,Student,2
7.490000000000009,65.0,276.0,1.0,3634.67,Doctor,Retired,Retired,1
246.93,23.0,158.0,5.0,673.3500000000004,Engineer,Doctor,Student,2
40.31999999999999,37.0,95.0,1.0,2686.52,Engineer,Engineer,Engineer,2
127.44999999999999,44.0,197.0,1.0,1772.06,Engineer,Retired,Doctor,2
56.170000000000016,27.0,283.0,1.0,1351.69,Engineer,Engineer,Student,2
28.310000000000002,59.0,20.0,1.0,8334.47,Doctor,Retired,Doctor,0
59.120000000000005,29.0,257.0,1.0,9823.64,Engineer,Doctor,Doctor,0
396.45,49.0,168.0,3.0,9690.15,Engineer,Doctor,Engineer,0
877.81,22.0,150.0,1.0,399.0,Engineer,Retired,Student,2
255.26,45.0,50.0,1.0,14815.87,Doctor,Engineer,Doctor,0
124.75999999999999,49.0,45.0,1.0,5764.72,Engineer,Engineer,Engineer,1
78.13,26.0,145.0,1.0,900.6099999999997,Engineer,Engineer,Student,2
649.28,75.0,137.0,1.0,4875.86,Engineer,Doctor,Retired,1
795.31,66.0,90.0,2.0,7914.88,Engineer,Doctor,Doctor,1
335.63,55.0,216.0,1.0,1019.3899999999999,Engineer,Retired,Retired,1
328.47,63.0,119.0,1.0,4323.66,Engineer,Doctor,Retired,1
34.01999999999998,38.0,19.0,1.0,14214.48,Engineer,Retired,Doctor,0
241.42,57.0,116.0,1.0,13357.02,Doctor,Retired,Doctor,0
55.31999999999999,19.0,117.0,1.0,241.78999999999996,Engineer,Doctor,Student,2
304.31,27.0,33.0,1.0,868.6099999999997,Engineer,Engineer,Student,2
435.27,74.0,90.0,1.0,4673.28,Engineer,Engineer,Retired,1
164.49,26.0,75.0,1.0,1509.27,Engineer,Engineer,Student,2
510.24,19.0,105.0,1.0,781.6999999999998,Engineer,Retired,Student,2
626.9,26.0,138.0,1.0,265.5100000000002,Engineer,Retired,Student,2
22.00999999999999,41.0,175.0,1.0,1335.0900000000001,Doctor,Retired,Engineer,2
425.34,69.0,121.0,1.0,3907.54,Doctor,Retired,Retired,1
424.56,51.0,264.0,1.0,5183.85,Engineer,Retired,Engineer,1
85.43,67.0,145.0,1.0,14904.9,Engineer,Engineer,Doctor,0
169.5,28.0,142.0,1.0,918.8800000000001,Engineer,Engineer,Student,2
104.63,62.0,90.0,1.0,4477.78,Engineer,Doctor,Retired,1
316.95,25.0,83.0,1.0,1324.0299999999997,Engineer,Engineer,Student,2
60.53999999999999,57.0,52.0,1.0,3534.93,Doctor,Engineer,Retired,1
292.56,68.0,61.0,1.0,4638.37,Doctor,Engineer,Retired,1
386.52,48.0,28.0,1.0,5630.61,Engineer,Engineer,Engineer,1
112.07,23.0,51.0,1.0,930.3000000000002,Engineer,Engineer,Student,2
568.52,46.0,152.0,1.0,5499.91,Engineer,Doctor,Engineer,1
263.99,79.0,227.0,2.0,4175.02,Engineer,Engineer,Retired,1
349.64,48.0,226.0,1.0,6651.62,Engineer,Retired,Engineer,0
601.4,56.0,104.0,1.0,8458.29,Doctor,Engineer,Engineer,0
5.769999999999982,50.0,124.0,1.0,13988.12,Engineer,Retired,Doctor,0
201.33,42.0,186.0,1.0,2585.07,Doctor,Engineer,Engineer,2
298.42,56.0,225.0,1.0,3014.75,Engineer,Engineer,Retired,1
521.06,25.0,128.0,1.0,1951.42,Engineer,Engineer,Student,2
117.28,60.0,16.0,1.0,3665.77,Doctor,Retired,Engineer,1
189.12,32.0,103.0,1.0,977.0100000000002,Doctor,Engineer,Engineer,2
133.55,44.0,220.0,1.0,3846.28,Engineer,Doctor,Engineer,1
143.21,35.0,135.0,1.0,6374.82,Engineer,Retired,Engineer,0
24.769999999999982,62.0,55.0,1.0,5866.01,Engineer,Doctor,Retired,1
233.92,26.0,280.0,1.0,6537.62,Doctor,Retired,Student,2
1212.51,20.0,24.0,1.0,605.9499999999998,Engineer,Engineer,Student,2
232.12,37.0,51.0,1.0,6689.87,Engineer,Doctor,Engineer,0
162.63,22.0,113.0,1.0,634.1700000000001,Engineer,Retired,Student,2
91.53,44.0,69.0,1.0,14676.05,Engineer,Engineer,Doctor,0
120.29000000000002,19.0,77.0,1.0,1362.3900000000003,Engineer,Engineer,Student,2
174.25,50.0,67.0,1.0,10528.34,Engineer,Retired,Doctor,0
183.71,38.0,102.0,1.0,552.5200000000004,Engineer,Doctor,Engineer,2
345.39,58.0,80.0,1.0,6451.96,Doctor,Retired,Engineer,1
922.55,63.0,87.0,1.0,4715.84,Engineer,Doctor,Retired,1
259.91,49.0,170.0,1.0,7176.86,Engineer,Retired,Doctor,0
154.71,34.0,157.0,1.0,1523.7200000000003,Engineer,Retired,Doctor,2
1340.19,54.0,30.0,1.0,8654.28,Doctor,Retired,Engineer,0
24.560000000000002,64.0,69.0,1.0,9869.93,Engineer,Engineer,Doctor,0
568.07,48.0,115.0,1.0,10556.81,Engineer,Doctor,Doctor,0
9.610000000000014,58.0,179.0,1.0,12883.91,Doctor,Retired,Doctor,0
392.96,24.0,100.0,1.0,791.6499999999996,Engineer,Retired,Student,2
716.93,60.0,34.0,1.0,4064.02,Doctor,Retired,Retired,1
223.85,53.0,55.0,4.0,2929.91,Engineer,Doctor,Engineer,1
230.66,21.0,135.0,1.0,618.0500000000002,Engineer,Engineer,Student,2
442.12,19.0,260.0,1.0,1375.8000000000002,Engineer,Retired,Student,2
644.17,29.0,72.0,1.0,1143.52,Engineer,Doctor,Engineer,2
508.68,51.0,127.0,1.0,7708.41,Doctor,Engineer,Engineer,0
858.6300000000001,27.0,185.0,1.0,1872.96,Doctor,Engineer,Student,2
25.360000000000014,57.0,78.0,1.0,201.03999999999996,Engineer,Doctor,Engineer,1
147.62,71.0,133.0,1.0,2115.8,Engineer,Engineer,Retired,1
115.01999999999998,37.0,175.0,1.0,7643.66,Engineer,Engineer,Doctor,0
383.37,30.0,24.0,1.0,8901.93,Engineer,Engineer,Engineer,0
98.54000000000002,20.0,167.0,1.0,9383.43,Doctor,Retired,Student,0
83.24000000000001,55.0,164.0,1.0,1181.31,Doctor,Engineer,Doctor,1
196.16,27.0,146.0,1.0,9418.86,Engineer,Engineer,Engineer,0
129.94,32.0,235.0,1.0,7954.92,Engineer,Doctor,Engineer,0
306.9,46.0,51.0,1.0,9418.08,Engineer,Retired,Engineer,0
114.98000000000002,59.0,80.0,1.0,6144.68,Engineer,Retired,Retired,1
756.59,27.0,17.0,1.0,420.64999999999964,Engineer,Engineer,Student,2
503.76,22.0,35.0,1.0,447.8199999999997,Engineer,Retired,Student,2
143.03,63.0,147.0,1.0,7981.45,Engineer,Doctor,Retired,1
1045.22,53.0,73.0,1.0,1829.9,Engineer,Doctor,Retired,1
245.54,25.0,180.0,1.0,985.0599999999995,Engineer,Doctor,Student,2
254.37,51.0,174.0,1.0,8849.26,Doctor,Retired,Engineer,0
213.76,78.0,282.0,1.0,3528.72,Doctor,Doctor,Retired,1
327.86,40.0,104.0,1.0,480.15999999999985,Engineer,Retired,Engineer,2
2.5,47.0,107.0,1.0,12145.27,Engineer,Retired,Doctor,0
300.08,68.0,47.0,1.0,13546.75,Doctor,Retired,Doctor,0
56.97999999999999,43.0,122.0,2.0,5688.37,Doctor,Doctor,Engineer,0
407.65,26.0,62.0,1.0,8346.64,Engineer,Retired,Engineer,0
115.82999999999996,39.0,167.0,1.0,6481.04,Engineer,Engineer,Engineer,0
53.56999999999999,69.0,121.0,1.0,1651.33,Engineer,Doctor,Retired,1
63.34,46.0,165.0,1.0,11174.94,Doctor,Retired,Doctor,0
317.87,27.0,91.0,1.0,145.5,Engineer,Retired,Student,2
331.65,41.0,61.0,1.0,4172.57,Engineer,Retired,Engineer,2
5.0400000000000205,56.0,41.0,1.0,5558.36,Engineer,Doctor,Retired,1
